Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/ActivityDefinition-TherapeuticAnticoagulationUFH.json	2443	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-TherapeuticAnticoagulationWArgatra.json	2512	3	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	17	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-KontaktArtDe.json	3570	3	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	31	1573	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-codex-celida.json	564	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	71	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopHospitalisedCOVID19PatientsWOContraIndications.json	3986	5	0	0	0	0	0	0	1	265	0	0	0	0	0	0	0	0	0	0	22	12	0	0	0	1	0	0
fsh-generated/resources/EvidenceVariable-PopHospitalisedCOVID19PatientsWithContraIndications.json	3993	3	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	26	8	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopHospitalisedICUCOVID19Patients.json	4474	3	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	22	11	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopHospitalisedNonICUCOVID19PatientsWITHHighRisk.json	3085	3	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopVentilatedCOVID19patientsWithARDSWithOxygenationFailure.json	3798	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	1	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedARDSPatients.json	2155	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
